
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.rename.runCycles       6710698                       # Number of cycles rename is running (Cycle)
system.bigCluster.cpus.rename.unblockCycles     15215432                       # Number of cycles rename is unblocking (Cycle)
system.bigCluster.cpus.rename.renamedInsts     21594610                       # Number of instructions processed by rename (Count)
system.bigCluster.cpus.rename.squashedInsts        16024                       # Number of squashed instructions processed by rename (Count)
system.bigCluster.cpus.rename.ROBFullEvents       350469                       # Number of times rename has blocked due to ROB full (Count)
system.bigCluster.cpus.rename.IQFullEvents          289                       # Number of times rename has blocked due to IQ full (Count)
system.bigCluster.cpus.rename.LQFullEvents           27                       # Number of times rename has blocked due to LQ full (Count)
system.bigCluster.cpus.rename.SQFullEvents     14505542                       # Number of times rename has blocked due to SQ full (Count)
system.bigCluster.cpus.rename.renamedOperands     19149457                       # Number of destination operands rename has renamed (Count)
system.bigCluster.cpus.rename.lookups        31057583                       # Number of register rename lookups that rename has made (Count)
system.bigCluster.cpus.rename.intLookups     25715814                       # Number of integer rename lookups (Count)
system.bigCluster.cpus.rename.committedMaps     19021724                       # Number of HB maps that are committed (Count)
system.bigCluster.cpus.rename.undoneMaps       127732                       # Number of HB maps that are undone due to squashing (Count)
system.bigCluster.cpus.rename.serializing         9894                       # count of serializing insts renamed (Count)
system.bigCluster.cpus.rename.tempSerializing         7627                       # count of temporary serializing insts renamed (Count)
system.bigCluster.cpus.rename.skidInsts       2600231                       # count of insts added to the skid buffer (Count)
system.bigCluster.cpus.rob.reads             46205288                       # The number of ROB reads (Count)
system.bigCluster.cpus.rob.writes            43138167                       # The number of ROB writes (Count)
system.bigCluster.cpus.thread_0.numInsts     18405415                       # Number of Instructions committed (Count)
system.bigCluster.cpus.thread_0.numOps       21482655                       # Number of Ops committed (Count)
system.bigCluster.cpus.thread_0.numMemRefs            0                       # Number of Memory References (Count)
system.bigCluster.l2.demandHits::bigCluster.cpus.mmu.dtb_walker          532                       # number of demand (read+write) hits (Count)
system.bigCluster.l2.demandHits::bigCluster.cpus.mmu.itb_walker           65                       # number of demand (read+write) hits (Count)
system.bigCluster.l2.demandHits::bigCluster.cpus.inst           83                       # number of demand (read+write) hits (Count)
system.bigCluster.l2.demandHits::bigCluster.cpus.data         1433                       # number of demand (read+write) hits (Count)
system.bigCluster.l2.demandHits::total           2113                       # number of demand (read+write) hits (Count)
system.bigCluster.l2.overallHits::bigCluster.cpus.mmu.dtb_walker          532                       # number of overall hits (Count)
system.bigCluster.l2.overallHits::bigCluster.cpus.mmu.itb_walker           65                       # number of overall hits (Count)
system.bigCluster.l2.overallHits::bigCluster.cpus.inst           83                       # number of overall hits (Count)
system.bigCluster.l2.overallHits::bigCluster.cpus.data         1433                       # number of overall hits (Count)
system.bigCluster.l2.overallHits::total          2113                       # number of overall hits (Count)
system.bigCluster.l2.demandMisses::bigCluster.cpus.mmu.dtb_walker           36                       # number of demand (read+write) misses (Count)
system.bigCluster.l2.demandMisses::bigCluster.cpus.mmu.itb_walker           13                       # number of demand (read+write) misses (Count)
system.bigCluster.l2.demandMisses::bigCluster.cpus.inst          906                       # number of demand (read+write) misses (Count)
system.bigCluster.l2.demandMisses::bigCluster.cpus.data       302143                       # number of demand (read+write) misses (Count)
system.bigCluster.l2.demandMisses::total       303098                       # number of demand (read+write) misses (Count)
system.bigCluster.l2.overallMisses::bigCluster.cpus.mmu.dtb_walker           36                       # number of overall misses (Count)
system.bigCluster.l2.overallMisses::bigCluster.cpus.mmu.itb_walker           13                       # number of overall misses (Count)
system.bigCluster.l2.overallMisses::bigCluster.cpus.inst          906                       # number of overall misses (Count)
system.bigCluster.l2.overallMisses::bigCluster.cpus.data       302143                       # number of overall misses (Count)
system.bigCluster.l2.overallMisses::total       303098                       # number of overall misses (Count)
system.bigCluster.l2.demandMissLatency::bigCluster.cpus.mmu.dtb_walker      1843466                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.l2.demandMissLatency::bigCluster.cpus.mmu.itb_walker       652487                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.l2.demandMissLatency::bigCluster.cpus.inst     45076998                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.l2.demandMissLatency::bigCluster.cpus.data  15184571999                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.l2.demandMissLatency::total  15232144950                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.l2.overallMissLatency::bigCluster.cpus.mmu.dtb_walker      1843466                       # number of overall miss ticks (Tick)
system.bigCluster.l2.overallMissLatency::bigCluster.cpus.mmu.itb_walker       652487                       # number of overall miss ticks (Tick)
system.bigCluster.l2.overallMissLatency::bigCluster.cpus.inst     45076998                       # number of overall miss ticks (Tick)
system.bigCluster.l2.overallMissLatency::bigCluster.cpus.data  15184571999                       # number of overall miss ticks (Tick)
system.bigCluster.l2.overallMissLatency::total  15232144950                       # number of overall miss ticks (Tick)
system.bigCluster.l2.demandAccesses::bigCluster.cpus.mmu.dtb_walker          568                       # number of demand (read+write) accesses (Count)
system.bigCluster.l2.demandAccesses::bigCluster.cpus.mmu.itb_walker           78                       # number of demand (read+write) accesses (Count)
system.bigCluster.l2.demandAccesses::bigCluster.cpus.inst          989                       # number of demand (read+write) accesses (Count)
system.bigCluster.l2.demandAccesses::bigCluster.cpus.data       303576                       # number of demand (read+write) accesses (Count)
system.bigCluster.l2.demandAccesses::total       305211                       # number of demand (read+write) accesses (Count)
system.bigCluster.l2.overallAccesses::bigCluster.cpus.mmu.dtb_walker          568                       # number of overall (read+write) accesses (Count)
system.bigCluster.l2.overallAccesses::bigCluster.cpus.mmu.itb_walker           78                       # number of overall (read+write) accesses (Count)
system.bigCluster.l2.overallAccesses::bigCluster.cpus.inst          989                       # number of overall (read+write) accesses (Count)
system.bigCluster.l2.overallAccesses::bigCluster.cpus.data       303576                       # number of overall (read+write) accesses (Count)
system.bigCluster.l2.overallAccesses::total       305211                       # number of overall (read+write) accesses (Count)
system.bigCluster.l2.demandMissRate::bigCluster.cpus.mmu.dtb_walker     0.063380                       # miss rate for demand accesses (Ratio)
system.bigCluster.l2.demandMissRate::bigCluster.cpus.mmu.itb_walker     0.166667                       # miss rate for demand accesses (Ratio)
system.bigCluster.l2.demandMissRate::bigCluster.cpus.inst     0.916077                       # miss rate for demand accesses (Ratio)
system.bigCluster.l2.demandMissRate::bigCluster.cpus.data     0.995280                       # miss rate for demand accesses (Ratio)
system.bigCluster.l2.demandMissRate::total     0.993077                       # miss rate for demand accesses (Ratio)
system.bigCluster.l2.overallMissRate::bigCluster.cpus.mmu.dtb_walker     0.063380                       # miss rate for overall accesses (Ratio)
system.bigCluster.l2.overallMissRate::bigCluster.cpus.mmu.itb_walker     0.166667                       # miss rate for overall accesses (Ratio)
system.bigCluster.l2.overallMissRate::bigCluster.cpus.inst     0.916077                       # miss rate for overall accesses (Ratio)
system.bigCluster.l2.overallMissRate::bigCluster.cpus.data     0.995280                       # miss rate for overall accesses (Ratio)
system.bigCluster.l2.overallMissRate::total     0.993077                       # miss rate for overall accesses (Ratio)
system.bigCluster.l2.demandAvgMissLatency::bigCluster.cpus.mmu.dtb_walker 51207.388889                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.demandAvgMissLatency::bigCluster.cpus.mmu.itb_walker 50191.307692                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.demandAvgMissLatency::bigCluster.cpus.inst 49753.860927                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.demandAvgMissLatency::bigCluster.cpus.data 50256.242902                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.demandAvgMissLatency::total 50254.851401                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMissLatency::bigCluster.cpus.mmu.dtb_walker 51207.388889                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMissLatency::bigCluster.cpus.mmu.itb_walker 50191.307692                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMissLatency::bigCluster.cpus.inst 49753.860927                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMissLatency::bigCluster.cpus.data 50256.242902                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMissLatency::total 50254.851401                       # average overall miss latency ((Cycle/Count))
system.bigCluster.l2.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.bigCluster.l2.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.bigCluster.l2.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.bigCluster.l2.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.bigCluster.l2.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.bigCluster.l2.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.bigCluster.l2.writebacks::writebacks       320362                       # number of writebacks (Count)
system.bigCluster.l2.writebacks::total         320362                       # number of writebacks (Count)
system.bigCluster.l2.demandMshrHits::bigCluster.cpus.data            1                       # number of demand (read+write) MSHR hits (Count)
system.bigCluster.l2.demandMshrHits::total            1                       # number of demand (read+write) MSHR hits (Count)
system.bigCluster.l2.overallMshrHits::bigCluster.cpus.data            1                       # number of overall MSHR hits (Count)
system.bigCluster.l2.overallMshrHits::total            1                       # number of overall MSHR hits (Count)
system.bigCluster.l2.demandMshrMisses::bigCluster.cpus.mmu.dtb_walker           36                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.l2.demandMshrMisses::bigCluster.cpus.mmu.itb_walker           13                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.l2.demandMshrMisses::bigCluster.cpus.inst          906                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.l2.demandMshrMisses::bigCluster.cpus.data       302142                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.l2.demandMshrMisses::total       303097                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.l2.overallMshrMisses::bigCluster.cpus.mmu.dtb_walker           36                       # number of overall MSHR misses (Count)
system.bigCluster.l2.overallMshrMisses::bigCluster.cpus.mmu.itb_walker           13                       # number of overall MSHR misses (Count)
system.bigCluster.l2.overallMshrMisses::bigCluster.cpus.inst          906                       # number of overall MSHR misses (Count)
system.bigCluster.l2.overallMshrMisses::bigCluster.cpus.data       302142                       # number of overall MSHR misses (Count)
system.bigCluster.l2.overallMshrMisses::total       303097                       # number of overall MSHR misses (Count)
system.bigCluster.l2.overallMshrUncacheable::bigCluster.cpus.inst         2482                       # number of overall MSHR uncacheable misses (Count)
system.bigCluster.l2.overallMshrUncacheable::bigCluster.cpus.data         5202                       # number of overall MSHR uncacheable misses (Count)
system.bigCluster.l2.overallMshrUncacheable::total         7684                       # number of overall MSHR uncacheable misses (Count)
system.bigCluster.l2.demandMshrMissLatency::bigCluster.cpus.mmu.dtb_walker      1753466                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.l2.demandMshrMissLatency::bigCluster.cpus.mmu.itb_walker       619987                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.l2.demandMshrMissLatency::bigCluster.cpus.inst     42811499                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.l2.demandMshrMissLatency::bigCluster.cpus.data  14429173999                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.l2.demandMshrMissLatency::total  14474358951                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.l2.overallMshrMissLatency::bigCluster.cpus.mmu.dtb_walker      1753466                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.l2.overallMshrMissLatency::bigCluster.cpus.mmu.itb_walker       619987                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.l2.overallMshrMissLatency::bigCluster.cpus.inst     42811499                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.l2.overallMshrMissLatency::bigCluster.cpus.data  14429173999                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.l2.overallMshrMissLatency::total  14474358951                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.l2.overallMshrUncacheableLatency::bigCluster.cpus.inst    115690500                       # number of overall MSHR uncacheable ticks (Tick)
system.bigCluster.l2.overallMshrUncacheableLatency::bigCluster.cpus.data    312689000                       # number of overall MSHR uncacheable ticks (Tick)
system.bigCluster.l2.overallMshrUncacheableLatency::total    428379500                       # number of overall MSHR uncacheable ticks (Tick)
system.bigCluster.l2.demandMshrMissRate::bigCluster.cpus.mmu.dtb_walker     0.063380                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.l2.demandMshrMissRate::bigCluster.cpus.mmu.itb_walker     0.166667                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.l2.demandMshrMissRate::bigCluster.cpus.inst     0.916077                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.l2.demandMshrMissRate::bigCluster.cpus.data     0.995276                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.l2.demandMshrMissRate::total     0.993074                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.l2.overallMshrMissRate::bigCluster.cpus.mmu.dtb_walker     0.063380                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.l2.overallMshrMissRate::bigCluster.cpus.mmu.itb_walker     0.166667                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.l2.overallMshrMissRate::bigCluster.cpus.inst     0.916077                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.l2.overallMshrMissRate::bigCluster.cpus.data     0.995276                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.l2.overallMshrMissRate::total     0.993074                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.l2.demandAvgMshrMissLatency::bigCluster.cpus.mmu.dtb_walker 48707.388889                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.demandAvgMshrMissLatency::bigCluster.cpus.mmu.itb_walker 47691.307692                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.demandAvgMshrMissLatency::bigCluster.cpus.inst 47253.310155                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.demandAvgMshrMissLatency::bigCluster.cpus.data 47756.266918                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.demandAvgMshrMissLatency::total 47754.873691                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMshrMissLatency::bigCluster.cpus.mmu.dtb_walker 48707.388889                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMshrMissLatency::bigCluster.cpus.mmu.itb_walker 47691.307692                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMshrMissLatency::bigCluster.cpus.inst 47253.310155                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMshrMissLatency::bigCluster.cpus.data 47756.266918                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMshrMissLatency::total 47754.873691                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMshrUncacheableLatency::bigCluster.cpus.inst 46611.804996                       # average overall mshr uncacheable latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMshrUncacheableLatency::bigCluster.cpus.data 60109.381007                       # average overall mshr uncacheable latency ((Cycle/Count))
system.bigCluster.l2.overallAvgMshrUncacheableLatency::total 55749.544508                       # average overall mshr uncacheable latency ((Cycle/Count))
system.bigCluster.l2.replacements              320646                       # number of replacements (Count)
system.bigCluster.l2.CleanEvict.mshrMisses::writebacks         2331                       # number of CleanEvict MSHR misses (Count)
system.bigCluster.l2.CleanEvict.mshrMisses::total         2331                       # number of CleanEvict MSHR misses (Count)
system.bigCluster.l2.CleanEvict.mshrMissRate::writebacks          inf                       # mshr miss rate for CleanEvict accesses (Ratio)
system.bigCluster.l2.CleanEvict.mshrMissRate::total          inf                       # mshr miss rate for CleanEvict accesses (Ratio)
system.bigCluster.l2.CleanInvalidReq.mshrMisses::bigCluster.cpus.data            1                       # number of CleanInvalidReq MSHR misses (Count)
system.bigCluster.l2.CleanInvalidReq.mshrMisses::total            1                       # number of CleanInvalidReq MSHR misses (Count)
system.bigCluster.l2.CleanInvalidReq.mshrMissLatency::bigCluster.cpus.data        14500                       # number of CleanInvalidReq MSHR miss ticks (Tick)
system.bigCluster.l2.CleanInvalidReq.mshrMissLatency::total        14500                       # number of CleanInvalidReq MSHR miss ticks (Tick)
system.bigCluster.l2.CleanInvalidReq.mshrMissRate::bigCluster.cpus.data          inf                       # mshr miss rate for CleanInvalidReq accesses (Ratio)
system.bigCluster.l2.CleanInvalidReq.mshrMissRate::total          inf                       # mshr miss rate for CleanInvalidReq accesses (Ratio)
system.bigCluster.l2.CleanInvalidReq.avgMshrMissLatency::bigCluster.cpus.data        14500                       # average CleanInvalidReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.CleanInvalidReq.avgMshrMissLatency::total        14500                       # average CleanInvalidReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.InvalidateReq.hits::bigCluster.cpus.data           63                       # number of InvalidateReq hits (Count)
system.bigCluster.l2.InvalidateReq.hits::total           63                       # number of InvalidateReq hits (Count)
system.bigCluster.l2.InvalidateReq.misses::bigCluster.cpus.data        37445                       # number of InvalidateReq misses (Count)
system.bigCluster.l2.InvalidateReq.misses::total        37445                       # number of InvalidateReq misses (Count)
system.bigCluster.l2.InvalidateReq.missLatency::bigCluster.cpus.data        35000                       # number of InvalidateReq miss ticks (Tick)
system.bigCluster.l2.InvalidateReq.missLatency::total        35000                       # number of InvalidateReq miss ticks (Tick)
system.bigCluster.l2.InvalidateReq.accesses::bigCluster.cpus.data        37508                       # number of InvalidateReq accesses(hits+misses) (Count)
system.bigCluster.l2.InvalidateReq.accesses::total        37508                       # number of InvalidateReq accesses(hits+misses) (Count)
system.bigCluster.l2.InvalidateReq.missRate::bigCluster.cpus.data     0.998320                       # miss rate for InvalidateReq accesses (Ratio)
system.bigCluster.l2.InvalidateReq.missRate::total     0.998320                       # miss rate for InvalidateReq accesses (Ratio)
system.bigCluster.l2.InvalidateReq.avgMissLatency::bigCluster.cpus.data     0.934704                       # average InvalidateReq miss latency ((Tick/Count))
system.bigCluster.l2.InvalidateReq.avgMissLatency::total     0.934704                       # average InvalidateReq miss latency ((Tick/Count))
system.bigCluster.l2.InvalidateReq.mshrMisses::bigCluster.cpus.data        38216                       # number of InvalidateReq MSHR misses (Count)
system.bigCluster.l2.InvalidateReq.mshrMisses::total        38216                       # number of InvalidateReq MSHR misses (Count)
system.bigCluster.l2.InvalidateReq.mshrMissLatency::bigCluster.cpus.data   2037819734                       # number of InvalidateReq MSHR miss ticks (Tick)
system.bigCluster.l2.InvalidateReq.mshrMissLatency::total   2037819734                       # number of InvalidateReq MSHR miss ticks (Tick)
system.bigCluster.l2.InvalidateReq.mshrMissRate::bigCluster.cpus.data     1.018876                       # mshr miss rate for InvalidateReq accesses (Ratio)
system.bigCluster.l2.InvalidateReq.mshrMissRate::total     1.018876                       # mshr miss rate for InvalidateReq accesses (Ratio)
system.bigCluster.l2.InvalidateReq.avgMshrMissLatency::bigCluster.cpus.data 53323.731788                       # average InvalidateReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.InvalidateReq.avgMshrMissLatency::total 53323.731788                       # average InvalidateReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadCleanReq.hits::bigCluster.cpus.inst           83                       # number of ReadCleanReq hits (Count)
system.bigCluster.l2.ReadCleanReq.hits::total           83                       # number of ReadCleanReq hits (Count)
system.bigCluster.l2.ReadCleanReq.misses::bigCluster.cpus.inst          906                       # number of ReadCleanReq misses (Count)
system.bigCluster.l2.ReadCleanReq.misses::total          906                       # number of ReadCleanReq misses (Count)
system.bigCluster.l2.ReadCleanReq.missLatency::bigCluster.cpus.inst     45076998                       # number of ReadCleanReq miss ticks (Tick)
system.bigCluster.l2.ReadCleanReq.missLatency::total     45076998                       # number of ReadCleanReq miss ticks (Tick)
system.bigCluster.l2.ReadCleanReq.accesses::bigCluster.cpus.inst          989                       # number of ReadCleanReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadCleanReq.accesses::total          989                       # number of ReadCleanReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadCleanReq.missRate::bigCluster.cpus.inst     0.916077                       # miss rate for ReadCleanReq accesses (Ratio)
system.bigCluster.l2.ReadCleanReq.missRate::total     0.916077                       # miss rate for ReadCleanReq accesses (Ratio)
system.bigCluster.l2.ReadCleanReq.avgMissLatency::bigCluster.cpus.inst 49753.860927                       # average ReadCleanReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadCleanReq.avgMissLatency::total 49753.860927                       # average ReadCleanReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadCleanReq.mshrMisses::bigCluster.cpus.inst          906                       # number of ReadCleanReq MSHR misses (Count)
system.bigCluster.l2.ReadCleanReq.mshrMisses::total          906                       # number of ReadCleanReq MSHR misses (Count)
system.bigCluster.l2.ReadCleanReq.mshrMissLatency::bigCluster.cpus.inst     42811499                       # number of ReadCleanReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadCleanReq.mshrMissLatency::total     42811499                       # number of ReadCleanReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadCleanReq.mshrMissRate::bigCluster.cpus.inst     0.916077                       # mshr miss rate for ReadCleanReq accesses (Ratio)
system.bigCluster.l2.ReadCleanReq.mshrMissRate::total     0.916077                       # mshr miss rate for ReadCleanReq accesses (Ratio)
system.bigCluster.l2.ReadCleanReq.avgMshrMissLatency::bigCluster.cpus.inst 47253.310155                       # average ReadCleanReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadCleanReq.avgMshrMissLatency::total 47253.310155                       # average ReadCleanReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadExReq.hits::bigCluster.cpus.data          120                       # number of ReadExReq hits (Count)
system.bigCluster.l2.ReadExReq.hits::total          120                       # number of ReadExReq hits (Count)
system.bigCluster.l2.ReadExReq.misses::bigCluster.cpus.data       299763                       # number of ReadExReq misses (Count)
system.bigCluster.l2.ReadExReq.misses::total       299763                       # number of ReadExReq misses (Count)
system.bigCluster.l2.ReadExReq.missLatency::bigCluster.cpus.data  15063548000                       # number of ReadExReq miss ticks (Tick)
system.bigCluster.l2.ReadExReq.missLatency::total  15063548000                       # number of ReadExReq miss ticks (Tick)
system.bigCluster.l2.ReadExReq.accesses::bigCluster.cpus.data       299883                       # number of ReadExReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadExReq.accesses::total       299883                       # number of ReadExReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadExReq.missRate::bigCluster.cpus.data     0.999600                       # miss rate for ReadExReq accesses (Ratio)
system.bigCluster.l2.ReadExReq.missRate::total     0.999600                       # miss rate for ReadExReq accesses (Ratio)
system.bigCluster.l2.ReadExReq.avgMissLatency::bigCluster.cpus.data 50251.525372                       # average ReadExReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadExReq.avgMissLatency::total 50251.525372                       # average ReadExReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadExReq.mshrMisses::bigCluster.cpus.data       299763                       # number of ReadExReq MSHR misses (Count)
system.bigCluster.l2.ReadExReq.mshrMisses::total       299763                       # number of ReadExReq MSHR misses (Count)
system.bigCluster.l2.ReadExReq.mshrMissLatency::bigCluster.cpus.data  14314143000                       # number of ReadExReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadExReq.mshrMissLatency::total  14314143000                       # number of ReadExReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadExReq.mshrMissRate::bigCluster.cpus.data     0.999600                       # mshr miss rate for ReadExReq accesses (Ratio)
system.bigCluster.l2.ReadExReq.mshrMissRate::total     0.999600                       # mshr miss rate for ReadExReq accesses (Ratio)
system.bigCluster.l2.ReadExReq.avgMshrMissLatency::bigCluster.cpus.data 47751.533712                       # average ReadExReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadExReq.avgMshrMissLatency::total 47751.533712                       # average ReadExReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadReq.hits::bigCluster.cpus.mmu.dtb_walker          532                       # number of ReadReq hits (Count)
system.bigCluster.l2.ReadReq.hits::bigCluster.cpus.mmu.itb_walker           65                       # number of ReadReq hits (Count)
system.bigCluster.l2.ReadReq.hits::total          597                       # number of ReadReq hits (Count)
system.bigCluster.l2.ReadReq.misses::bigCluster.cpus.mmu.dtb_walker           36                       # number of ReadReq misses (Count)
system.bigCluster.l2.ReadReq.misses::bigCluster.cpus.mmu.itb_walker           13                       # number of ReadReq misses (Count)
system.bigCluster.l2.ReadReq.misses::total           49                       # number of ReadReq misses (Count)
system.bigCluster.l2.ReadReq.missLatency::bigCluster.cpus.mmu.dtb_walker      1843466                       # number of ReadReq miss ticks (Tick)
system.bigCluster.l2.ReadReq.missLatency::bigCluster.cpus.mmu.itb_walker       652487                       # number of ReadReq miss ticks (Tick)
system.bigCluster.l2.ReadReq.missLatency::total      2495953                       # number of ReadReq miss ticks (Tick)
system.bigCluster.l2.ReadReq.accesses::bigCluster.cpus.mmu.dtb_walker          568                       # number of ReadReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadReq.accesses::bigCluster.cpus.mmu.itb_walker           78                       # number of ReadReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadReq.accesses::total          646                       # number of ReadReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadReq.missRate::bigCluster.cpus.mmu.dtb_walker     0.063380                       # miss rate for ReadReq accesses (Ratio)
system.bigCluster.l2.ReadReq.missRate::bigCluster.cpus.mmu.itb_walker     0.166667                       # miss rate for ReadReq accesses (Ratio)
